Player;3ptProf;OffensiveLoad;TS;FTFGdist;ORp;DRp;ASTp;TOVp;STp;Opp2p
BOUROUSIS, IOANNIS 2007 OLY;0.42768678246435754;0.20527740250993226;0.8189938478866813;0.2988505747126437;0.3895699735948699;0.7280701754385965;0.06270759490849105;0.19061725718999406;0.16702402661162655;0.56
JACKSON, MARC 2007 OLY;0.3673375451101366;0.3928753310651921;0.7595024592632247;0.46411483253588515;0.5117056856187292;0.4431137724550898;0.12912084433385884;0.3009837003267618;0.1350387360937914;0.4808743169398907
MACIJAUSKAS, ARVYDAS 2007 OLY;0.37611607162836286;0.35633818993214483;0.958718417209184;0.8275862068965517;0.09090909090909093;0.2247191011235955;0.14197605636646274;0.21786698965687606;0.4595282507419897;0.6896551724137931
WOODS, QYNTEL 2007 OLY;0.36945641349438685;0.31831211779429386;0.7592824062118002;0.24456521739130435;0.2363195057369815;0.46;0.11737787915878492;0.2370367159391391;0.22821143364177965;0.5495495495495496
MICKEAL, PETE 2007 BAS;0.2846875208506905;0.22298218152336416;0.7407326081571065;0.27927927927927926;0.2621753246753247;0.5545454545454546;0.03474598253436925;0.17299784422106435;0.24036489708031067;0.5393258426966292
PRIGIONI, PABLO 2007 BAS;0.32725434318860075;0.3333016709122665;0.7459742351046699;0.31297709923664124;0.13598273235144745;0.31097560975609756;0.35878500322051954;0.303666578739119;0.42139099542255926;0.6190476190476191
RAKOCEVIC, IGOR 2007 BAS;0.3999400731648883;0.365593705176152;0.79355602579605;0.3537117903930131;0.09579263711495117;0.24260355029585798;0.1355695317959469;0.22584300200199817;0.1633104018809596;0.5241935483870968
SPLITTER, TIAGO 2007 BAS;0.0;0.38351032411762503;0.8350520866083967;0.6538461538461539;0.4429646786334685;0.5466666666666666;0.12382964746357306;0.24544272221393093;0.2911084162017948;0.624390243902439
TELETOVIC, MIRZA 2007 BAS;0.4369309781467065;0.22802824532703647;0.8111412025208652;0.1282051282051282;0.2502255808707422;0.45977011494252873;0.02811481799828093;0.1556242815603245;0.1308292918519711;0.5526315789473685
PRINTEZIS, GEORGIOS 2007 OLY;0.2154930476264183;0.2515633393136181;0.7165745794870939;0.19827586206896552;0.32893120393120395;0.42342342342342343;0.08535942037104469;0.1560314448359989;0.10316161505033279;0.5789473684210527
PLANINIC, ZORAN 2007 BAS;0.35989316739348226;0.3715751352946699;0.7740183792815372;0.33152173913043476;0.13295454545454546;0.32432432432432434;0.2885572139303483;0.2600524080599982;0.2526917776757005;0.5757575757575758
VASILIADIS, KOSTAS 2007 OLY;0.43587917416355204;0.25101624874781675;0.8857662556958567;0.1509433962264151;0.1390909090909091;0.40425531914893614;0.1361547970095017;0.1490119372932547;0.29964848275035616;0.6428571428571429
VIDAL, SERGI 2007 BAS;0.3185477558286183;0.2088872309886237;0.728186359939584;0.573170731707317;0.10294557416267942;0.3046875;0.20553556820979565;0.112501801817209;0.2595140683122942;0.5
MCDONALD, WILL 2007 BAS;0.0;0.3376959712443569;0.7694817521712306;0.5277777777777778;0.42797202797202805;0.6842105263157895;0.08754590480255378;0.26222510595413945;0.17444426827334708;0.5625
TEODOSIC, MILOS 2007 OLY;0.272266988122031;0.2743914314693234;0.65446330160702;0.19811320754716982;0.15686944634313055;0.2755905511811024;0.24715735992130575;0.2231097210527019;0.2560028184791053;0.5294117647058824
BLAKNEY, RODERICK 2007 OLY;0.41441359243976345;0.22250337085269448;0.7604391094695804;0.2222222222222222;0.06047430830039526;0.308411214953271;0.22494039848402012;0.12250527110356903;0.34328665568369027;0.4791666666666667
CHIACIG, ROBERTO 2007 VIR;0.0;0.27662579923858593;0.6706723926180774;0.5285714285714286;0.5440630797773656;0.3142857142857143;0.02341678633118978;0.19560267781289292;0.25159872995997584;0.4714285714285714
GIOVANNONI, GUILHERME 2007 VIR;0.2888204541110931;0.2669703276214248;0.606983752620545;0.3258426966292135;0.2975206611570248;0.47058823529411764;0.11115062430851906;0.11504866982470868;0.343167304067778;0.39655172413793105
SPENCER, DEWARICK 2007 VIR;0.47614197805134484;0.33332405749034216;0.7830773858980603;0.25757575757575757;0.17152466367713004;0.22727272727272727;0.0997793715992367;0.19234845374604964;0.22044594644234655;0.43478260869565216
BROWN, MARCUS 2007 ZAL;0.4273404604280616;0.3063407503253511;0.8793659832953683;0.3442622950819672;0.13866424986056888;0.21428571428571427;0.09319222976241116;0.20171214017521905;0.1433444164182527;0.5909090909090909
JANKUNAS, PAULIUS 2007 ZAL;0.29636723859766595;0.2731397791121;0.7400664348266557;0.24615384615384617;0.5597560975609757;0.5446428571428571;0.08924209257320517;0.1440052038016662;0.26490978314848534;0.5670103092783505
CROSARIOL, ANDREA 2007 VIR;0.0;0.23680413912374298;0.6924005194550622;0.23076923076923078;0.46201525746980293;0.55;0.07468353086105094;0.26052764089188624;0.2750623349955999;0.5384615384615384
ANDERSON, ALAN 2007 VIR;0.2463447596988449;0.34102236291778876;0.6701429636354244;0.3950617283950617;0.24208860759493672;0.24561403508771928;0.11797962513263797;0.2469114619080302;0.28903170621756263;0.4426229508196721
DI BELLA, FABIO 2007 VIR;0.16878678144679288;0.25407706493958926;0.5910685805422649;0.36363636363636365;0.11463536463536465;0.2898550724637681;0.19410374510514244;0.3116507688396313;0.5061201661872802;0.4473684210526316
MACIULIS, JONAS 2007 ZAL;0.3864115944848572;0.3032178052535024;0.7591868893791365;0.3448275862068966;0.3204312752094322;0.2867132867132867;0.06025182226791623;0.2294303657315961;0.3707664382861233;0.5353535353535354
